file_name,original_size,resized_size,filetype,public_id,url,upload_date
img_5656_EP.jpg,1592706,1455464,.jpg,Uploads/lifestyle 17/img_5656_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024746/Uploads/lifestyle%2017/img_5656_EP.jpg.jpg,2025-09-16T13:12:26.687955
5.jpg,1884020,1458859,.jpg,Uploads/lifestyle 01/5.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022922/Uploads/lifestyle%2001/5.jpg.jpg,2025-09-16T12:42:03.318475
FRQ_XMAS_LIGHTS 12.jpg,1884057,1458859,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 12.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022961/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2012.jpg.jpg,2025-09-16T12:42:42.224123
LIFESTYLE_AND_DETAILS_053.jpg,1668376,1478950,.jpg,Uploads/lifestyle 25/LIFESTYLE_AND_DETAILS_053.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758025678/Uploads/lifestyle%2025/LIFESTYLE_AND_DETAILS_053.jpg.jpg,2025-09-16T13:27:59.490091
img_5651_EP.jpg,1576937,1502448,.jpg,Uploads/lifestyle 17/img_5651_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024744/Uploads/lifestyle%2017/img_5651_EP.jpg.jpg,2025-09-16T13:12:24.492136
img_5681_EP.jpg,1650748,1513725,.jpg,Uploads/lifestyle 17/img_5681_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024757/Uploads/lifestyle%2017/img_5681_EP.jpg.jpg,2025-09-16T13:12:38.072806
FRQ_XMAS_LIGHTS 19.jpg,1976969,1517005,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 19.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022971/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2019.jpg.jpg,2025-09-16T12:42:52.697161
FRQ_XMAS_LIGHTS 25.jpg,1959047,1528380,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 25.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022980/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2025.jpg.jpg,2025-09-16T12:43:00.941538
FRQ_XMAS_LIGHTS 32.jpg,1974746,1540303,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 32.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022990/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2032.jpg.jpg,2025-09-16T12:43:11.023013
img_5670_EP.jpg,1718200,1551857,.jpg,Uploads/lifestyle 17/img_5670_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024755/Uploads/lifestyle%2017/img_5670_EP.jpg.jpg,2025-09-16T13:12:35.985748
