file_name,original_size,resized_size,filetype
aptel_13.v2.jpg,4100983,1783324,.jpg
_MG_8694.jpg,3703330,1812050,.jpg
aptel_31.v2.jpg,4595923,1817738,.jpg
_MG_8697.jpg,3756321,1859655,.jpg
aptel_10.v2.jpg,4279456,1869296,.jpg
aptel_32.v2.jpg,4207810,1913492,.jpg
aptel_23.v2.jpg,4372054,1920392,.jpg
_MG_8694-HDR.jpg,3825650,1929071,.jpg
aptel_26.v2.jpg,4412724,1952986,.jpg
aptel_01.v2.jpg,4546811,1979604,.jpg
aptel_30.v2.jpg,4509143,1986289,.jpg
aptel_16.v2.jpg,4516177,2012768,.jpg
aptel_28.v2.jpg,4831170,2046845,.jpg
_MG_8697-HDR.jpg,3924742,2054504,.jpg
test_finder_tags_demo.jpg,2262546,2057932,.jpg
aptel_08.v2.jpg,4800394,2087646,.jpg
aptel_29.v2.jpg,4930130,2101427,.jpg
aptel_12.v2.jpg,4710013,2106907,.jpg
aptel_27.v2.jpg,4857902,2150408,.jpg
aptel_34.v2.jpg,4826184,2150503,.jpg
aptel_20.v2.jpg,4625066,2163511,.jpg
aptel_18.v2.jpg,4990186,2199967,.jpg
aptel_22.v2.jpg,4968057,2204812,.jpg
aptel_37.v2.jpg,5228283,2252842,.jpg
_MG_8700.jpg,4632687,2266153,.jpg
aptel_38.v2.jpg,5000350,2267742,.jpg
_MG_8702.jpg,4682570,2294818,.jpg
aptel_39.v2.jpg,5002542,2302859,.jpg
aptel_06.v2.jpg,5105147,2318160,.jpg
aptel_09.v2.jpg,4887117,2324260,.jpg
aptel_21.v2.jpg,4730047,2333639,.jpg
aptel_35.v2.jpg,5204086,2370570,.jpg
aptel_33.v2.jpg,5625125,2380117,.jpg
aptel_03.v2.jpg,5320662,2404855,.jpg
aptel_17.v2.jpg,5387234,2405098,.jpg
1.jpg,2534645,2406760,.jpg
super long file name to be truncated.jpg,2534639,2406760,.jpg
1.jpg,2534708,2406760,.jpg
aptel_02.v2.jpg,5431405,2456842,.jpg
_MG_8700-HDR.jpg,4937318,2489112,.jpg
aptel_11.v2.jpg,5350286,2516879,.jpg
aptel_24.v2.jpg,5643198,2547599,.jpg
aptel_04.v2.jpg,5164329,2557903,.jpg
aptel_36.v2.jpg,7741656,2595773,.jpg
aptel_25.v2.jpg,8116779,2603458,.jpg
aptel_40.v2.jpg,5736952,2623248,.jpg
aptel_19.v2.jpg,5656192,2624526,.jpg
aptel_05.v2.jpg,5505144,2768744,.jpg
aptel_14.v2.jpg,5832662,3022834,.jpg
aptel_15.v2.jpg,5898163,3048417,.jpg
aptel_07.v2.jpg,6571165,3222423,.jpg
